2026/08/12 12:01:03.718269 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/12 12:01:05.960384 AutoMigrate warning: Error 3780 (HY000): Referencing column 'branch_id' and referenced column 'id' in foreign key constraint 'fk_users_branch' are incompatible.
2026/08/12 12:01:06.825403 Stationery Management System Server starting on port 8091...
2026/08/12 12:01:09.242555 [ERROR] [MAF001] Authorization token required | File: middleware/auth_middleware.go | Func: main.main.JWTAuth.func9 | Time: 2026-08-12T12:01:09+05:30
2026/08/12 12:01:09.451276 [HTTP] 401 |    249.1216ms | 10.10.100.45 | GET /api/v1/auth/me
2026/08/12 12:01:25.069681 [HTTP] 200 |    614.2888ms | 10.10.100.45 | POST /api/v1/auth/login
2026/08/12 12:01:25.918812 [HTTP] 200 |    427.2934ms | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 12:01:25.938901 [HTTP] 200 |    447.3827ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 12:01:27.851145 [HTTP] 200 |     27.4613ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 12:01:38.441849 [HTTP] 200 |     18.4774ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 12:02:04.887251 [HTTP] 200 |    1.0653151s | 10.10.100.45 | GET /api/v1/requests
2026/08/12 12:02:04.903850 [HTTP] 200 |    1.0485359s | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 12:02:48.178896 [HTTP] 200 |    2.8428332s | 10.10.100.45 | GET /api/v1/requests/14
2026/08/12 12:02:59.697147 [HTTP] 200 |    1.9199282s | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 12:02:59.867111 [HTTP] 200 |    2.1078173s | 10.10.100.45 | GET /api/v1/requests
2026/08/12 12:03:03.801627 [HTTP] 200 |     48.9693ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 12:03:10.881555 [HTTP] 200 |     29.1274ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 12:05:09.358059 [HTTP] 200 |    137.4208ms | 10.10.100.2 | GET /api/v1/products
2026/08/12 12:05:11.038942 [HTTP] 200 |    1.8034793s | 10.10.100.2 | GET /api/v1/requests
2026/08/12 12:05:13.472023 [HTTP] 200 |    1.4466733s | 10.10.100.2 | GET /api/v1/requests
2026/08/12 12:05:13.585067 [HTTP] 200 |    1.5417184s | 10.10.100.2 | GET /api/v1/monitor/delayed-orders
2026/08/12 12:05:22.876834 [HTTP] 200 |       9.699ms | 10.10.100.2 | GET /api/v1/products
